run_id,train_file,corruption_scheme,n_samples,n_features,d0,k0,k0_ratio,time_limit,mip_gap_target,status_name,solved_to_optimality,objective_value,best_bound,mip_gap,runtime_sec,node_count,selected_features,detected_outliers,estimated_z,selected_coefficients,train_lad_authentic,train_mae_all,train_mse_all,true_features,true_outliers,error_message
1,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,5,10,0.10,300.0,0.0001,OPTIMAL,True,0.7031308257745046,0.7031308257745046,0.0,1.4507291316986084,60.0,"[0,1,2,3,4]","[1,11,21,30,31,51,65,74,76,98]",-0.8308899753336596,"{""0"":0.9999999785605342,""1"":0.9999999966056197,""2"":0.9999999946486079,""3"":1.0000000424382296,""4"":0.9999999902801134}",70.31308260411957,1.4172992441214405,7.037865195064091,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
2,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,5,15,0.15,300.0,0.0001,OPTIMAL,True,0.606886577600001,0.606886577600001,0.0,1.5652048587799072,443.0,"[0,1,2,3,4]","[1,7,11,21,23,30,31,47,48,51,65,74,76,86,98]",-0.8308900004681444,"{""0"":1.0,""1"":1.0,""2"":1.0,""3"":1.0,""4"":1.0}",60.688660290965366,1.4172992758970395,7.037865236817269,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
3,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,5,20,0.20,300.0,0.0001,OPTIMAL,True,0.5220343664870128,0.5220343664870128,0.0,4.634304046630859,3155.0,"[0,1,2,3,4]","[1,7,11,21,23,30,31,33,47,48,51,61,65,74,76,85,86,87,89,98]",-0.8308899765037229,"{""0"":0.9999999557938879,""1"":0.9999999751060245,""2"":1.0000000114200984,""3"":1.0000000339244686,""4"":1.0000000118982482}",52.20343808620898,1.4172992423383481,7.0378652529077,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
4,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,7,10,0.10,300.0,0.0001,OPTIMAL,True,0.7031307489163723,0.7031307489163723,0.0,1.116576910018921,675.0,"[0,1,2,3,4,6,20]","[1,11,21,30,31,51,65,74,76,98]",-0.8308899933001858,"{""0"":0.9999999932354221,""1"":1.0000000499816448,""2"":1.000000036367715,""3"":1.0000000765815058,""4"":1.0000000182620112,""6"":-9.07968929995464e-08,""20"":7.353479073427249e-08}",70.31307489202896,1.4172991790534744,7.037865232941178,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
5,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,7,15,0.15,300.0,0.0001,OPTIMAL,True,0.6068865594697783,0.6068865594697783,0.0,5.712869882583618,6604.0,"[0,1,2,3,4,9,29]","[1,7,11,21,23,30,31,47,48,51,65,74,76,86,98]",-0.8308900053983009,"{""0"":0.9999999842847832,""1"":0.9999999877714064,""2"":0.9999999766418042,""3"":1.0000000121960728,""4"":1.000000032279886,""9"":3.45653763367206e-08,""29"":-3.6985409758601614e-08}",60.688656137241196,1.417299240358705,7.037865180245091,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
6,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,7,20,0.20,300.0,0.0001,OPTIMAL,True,0.5220341058009623,0.5220341058009623,0.0,111.02948808670044,60257.0,"[0,1,2,3,4,5,42]","[1,7,11,21,23,30,31,33,47,48,51,61,65,74,76,85,86,87,89,98]",-0.8308898362434433,"{""0"":0.9999999887097543,""1"":1.0000000855538351,""2"":0.999999865620027,""3"":1.000000042526869,""4"":1.0000001921320503,""5"":-3.9091264570532125e-08,""42"":-1.6663262883478422e-07}",52.20341149375493,1.4172990489813333,7.037865071081172,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
7,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,9,10,0.10,300.0,0.0001,OPTIMAL,True,0.7031291696486281,0.7031291696486281,0.0,6.776933908462524,10521.0,"[0,1,2,3,4,30,35,41]","[1,11,21,30,31,51,65,74,76,98]",-0.8308895087125382,"{""0"":0.9999997064023501,""1"":1.0000011591350897,""2"":1.000000157681537,""3"":1.0000009956354696,""4"":1.000000579736361,""30"":2.5765649035182855e-07,""35"":4.647142317046517e-07,""41"":-5.761048844955967e-07}",70.31291696486267,1.4172978411062394,7.037865964841015,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
8,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,9,15,0.15,300.0,0.0001,OPTIMAL,True,0.6068850168100859,0.6068850168100859,0.0,17.265035152435303,21569.0,"[0,1,2,3,4,6,17,23]","[1,7,11,21,23,30,31,47,48,51,65,74,76,86,98]",-0.8308897526895611,"{""0"":0.9999995720826399,""1"":1.0000013958661578,""2"":1.0000011422750483,""3"":1.0000009054369576,""4"":1.0000008501518196,""6"":-1.175511802812208e-06,""17"":2.2191093914974205e-06,""23"":1.8085690442600943e-06}",60.68850168100831,1.417297704478998,7.037863849697782,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
9,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,9,20,0.20,300.0,0.0001,OPTIMAL,True,0.5220339890209615,0.5220339890209615,0.0,212.12736701965332,128283.0,"[0,1,2,3,4,6,8,17,23]","[1,7,11,21,23,30,31,33,47,48,51,61,65,74,76,85,86,87,89,98]",-0.830889923080635,"{""0"":1.0000000462863934,""1"":1.000000182708888,""2"":1.0000001995936743,""3"":1.0000001449173193,""4"":1.0000003559013568,""6"":-2.821416567592604e-07,""8"":-1.2071532216100771e-08,""17"":3.671647739231506e-07,""23"":2.8774680104039464e-07}",52.20341483443758,1.4172990286766287,7.037864839633284,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
10,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_2.dat,vertical_outliers,100,49,5,10,0.10,300.0,0.0001,OPTIMAL,True,0.6474573270288797,0.6474573270288797,0.0,0.23603081703186035,1.0,"[0,1,2,3,4]","[24,25,34,36,42,46,60,65,82,99]",0.3949846179085169,"{""0"":1.0000000012170687,""1"":0.9999999963985371,""2"":1.0000000019839201,""3"":0.9999999991710704,""4"":0.9999999979547838}",64.74573279931833,1.4119426473119805,7.935919396399466,"[0,1,2,3,4]","[24,25,34,46,60,65,99]",
