run_id,formulation,train_file,corruption_scheme,n_samples,n_features,d0,k0,k0_ratio,time_limit,mip_gap_target,status_name,solved_to_optimality,objective_value,best_bound,mip_gap,runtime_sec,node_count,selected_features,detected_outliers,estimated_z,selected_coefficients,train_lad_authentic,train_mae_all,train_mse_all,true_features,true_outliers,error_message
1,D,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,5,10,0.10,300.0,0.0001,OPTIMAL,True,0.7019771143403055,0.7019771143403055,0.0,2.63309383392334,541.0,"[0,1,2,3,4]","[1,11,21,30,31,51,65,74,76,98]",-0.8258822093369831,"{""0"":1.0042128541948032,""1"":0.9947031800012565,""2"":1.0011649828526208,""3"":1.0071739103300419,""4"":0.9926272387688517}",70.19771143403088,1.4156619412981317,7.031124339843083,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
2,D,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,5,15,0.15,300.0,0.0001,OPTIMAL,True,0.6059458726663358,0.6059458726663358,0.0,3.174363136291504,1208.0,"[0,1,2,3,4]","[1,11,21,23,30,31,47,48,51,61,65,74,76,86,98]",-0.8258822093369825,"{""0"":1.004212854194803,""1"":0.9947031800012561,""2"":1.0011649828526208,""3"":1.0071739103300419,""4"":0.9926272387688512}",60.594587266633454,1.4156619412981317,7.031124339843083,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
3,D,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,5,20,0.20,300.0,0.0001,OPTIMAL,True,0.5212173023061482,0.5212173023061482,0.0,5.784114122390747,7203.0,"[0,1,2,3,4]","[1,7,11,21,23,30,31,33,47,48,51,61,65,74,76,85,86,87,89,98]",-0.8296904656966932,"{""0"":1.0059868738536892,""1"":1.0059729037872998,""2"":1.0045435022939935,""3"":0.9995082852508004,""4"":1.0023290028034513}",52.12173023061474,1.4170081422150398,7.043307015709409,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
4,D,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,7,10,0.10,300.0,0.0001,OPTIMAL,True,0.6962094439417754,0.6962094439417754,0.0,13.260536193847656,9844.0,"[0,1,2,3,4,17,36]","[1,11,21,30,31,51,65,74,76,98]",-0.8189689018748727,"{""0"":1.0085053836890245,""1"":0.9986284831422554,""2"":1.0103684701833429,""3"":1.0160251981524713,""4"":1.0022719132718803,""17"":0.01297001612651751,""36"":0.008939951020740607}",69.62094439417763,1.4107799285842004,7.038968658643846,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
5,D,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,7,15,0.15,300.0,0.0001,OPTIMAL,True,0.600639775953649,0.600639775953649,0.0,61.64405179023743,115918.0,"[0,1,2,3,4,17,36]","[1,11,21,23,30,31,47,48,51,61,65,74,76,86,98]",-0.819047222812672,"{""0"":1.0082871515621374,""1"":0.9986653537923771,""2"":1.010606943831618,""3"":1.015766049156482,""4"":1.0023766551311837,""17"":0.013127909835119547,""36"":0.009028799765073698}",60.06397759536506,1.4108071101833928,7.039272887239885,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
6,D,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,7,20,0.20,300.0,0.0001,OPTIMAL,True,0.5155512946705976,0.5155512946705976,0.0,271.2524631023407,684409.0,"[0,1,2,3,4,17,27]","[1,7,11,21,23,30,31,33,47,48,51,61,65,74,76,85,86,87,89,98]",-0.8231875865638489,"{""0"":1.0050047218213511,""1"":0.9979693577066271,""2"":1.0181061994617693,""3"":1.0110346312897818,""4"":1.010782725443177,""17"":0.017591706879175193,""27"":0.009536705108914773}",51.555129467059714,1.4117308650492213,7.041032583010077,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
7,D,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,9,10,0.10,300.0,0.0001,OPTIMAL,True,0.6901873928776716,0.6901873928776716,0.0,65.14397692680359,230101.0,"[0,1,2,3,4,6,17,18,42]","[1,11,21,30,51,65,74,76,86,98]",-0.8301471425668248,"{""0"":1.0031868926862955,""1"":1.009424421356339,""2"":1.0161330900113268,""3"":1.0190395757405812,""4"":1.0053257826200126,""6"":-0.025823803405002812,""17"":0.011188656323456682,""18"":0.02042706209627402,""42"":-0.010674106548467361}",69.01873928776743,1.405355259096816,7.038279724433446,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
8,D,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,9,15,0.15,300.0,0.0001,TIME_LIMIT,False,0.5934997926287764,0.5759165675637519,0.02962633733559283,300.0309269428253,1078382.0,"[0,1,2,3,4,6,18,41,42]","[1,7,11,21,30,31,47,48,51,61,65,74,76,86,98]",-0.826894199164643,"{""0"":1.0008157903786057,""1"":1.0180800351154258,""2"":0.9949641775600624,""3"":1.0108745021863932,""4"":1.0114728746582047,""6"":-0.023026999854984985,""18"":0.02042212134431095,""41"":-0.015661197320177293,""42"":-0.017854242944911905}",59.34997926287748,1.4063953157316427,7.045643755509701,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
9,D,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,9,20,0.20,300.0,0.0001,TIME_LIMIT,False,0.509045707694586,0.41556507506253376,0.18363897626289025,300.01624393463135,512229.0,"[0,1,2,3,4,6,18,41,42]","[1,7,11,21,23,30,31,33,47,48,51,61,65,74,76,85,86,87,89,98]",-0.8274597025392227,"{""0"":1.001732699337637,""1"":1.018261047533199,""2"":0.9947704404530804,""3"":1.0104509905197687,""4"":1.0110558879926481,""6"":-0.02258161944408028,""18"":0.021737684696344177,""41"":-0.015748105653799926,""42"":-0.017412322205688842}",50.90457076945859,1.4063150114201362,7.04504812558527,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
10,D,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_2.dat,vertical_outliers,100,49,5,10,0.10,300.0,0.0001,OPTIMAL,True,0.6459544052353579,0.6459544052353579,0.0,1.0904839038848877,1294.0,"[0,1,2,3,4]","[24,25,34,36,42,46,60,65,82,99]",0.39279503744906247,"{""0"":0.9988818238685735,""1"":0.9973313671727395,""2"":1.0035688813922954,""3"":0.9943851937638108,""4"":0.9988937428426384}",64.59544052353583,1.4098299151534466,7.924555663238076,"[0,1,2,3,4]","[24,25,34,46,60,65,99]",
