run_id,formulation,train_file,corruption_scheme,n_samples,n_features,d0,k0,k0_ratio,time_limit,mip_gap_target,status_name,solved_to_optimality,objective_value,best_bound,mip_gap,runtime_sec,node_count,selected_features,detected_outliers,estimated_z,selected_coefficients,train_lad_authentic,train_mae_all,train_mse_all,true_features,true_outliers,error_message
1,L,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,5,10,0.10,300.0,0.0001,OPTIMAL,True,0.6756408538057004,0.6756408538057004,0.0,2.241976022720337,526.0,"[0,1,2,3,4]","[1,11,21,30,31,65,74,76,86,98]",-0.5953742362452146,"{""0"":1.1157773994989917,""1"":1.0432037825214673,""2"":1.0204538879069345,""3"":0.9744031490019317,""4"":1.1180665254640503}",67.56408538057006,1.4160200752517342,7.439663049030615,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
2,L,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,5,15,0.15,300.0,0.0001,OPTIMAL,True,0.5797598154152639,0.5797598154152639,0.0,5.496715068817139,2858.0,"[0,1,2,3,4]","[1,7,11,21,30,31,48,65,74,76,85,86,87,89,98]",-0.5920461939980701,"{""0"":1.1133227343795231,""1"":1.041579346845725,""2"":1.018279873885298,""3"":0.9756968653359511,""4"":1.1184581804923388}",57.54869520185203,1.4162240631431922,7.442523246903378,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
3,L,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,5,20,0.20,300.0,0.0001,OPTIMAL,True,0.49443872004643696,0.49443872004643696,0.0,7.936548948287964,9226.0,"[0,1,2,3,4]","[1,7,11,21,23,30,31,33,47,48,51,61,65,74,76,85,86,87,89,98]",-0.627308288388727,"{""0"":1.1122198621745782,""1"":1.0949684762040461,""2"":1.0699741424507432,""3"":0.9532155613027099,""4"":1.1751207096318583}",49.44387200464371,1.4242358370004553,7.525280948910162,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
4,L,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,7,10,0.10,300.0,0.0001,OPTIMAL,True,0.6242238722785747,0.6242238722785747,0.0,12.89277195930481,6223.0,"[0,1,2,3,4,16,42]","[1,11,21,30,47,51,65,74,76,98]",-0.8404063814504522,"{""0"":0.9224657859895191,""1"":1.1699544149323553,""2"":1.0507106911860862,""3"":0.9972436408166423,""4"":0.8100624711002953,""16"":0.26838240517636014,""42"":-0.30280442174449507}",62.42238722785748,1.3399293542596606,6.880431665311423,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
5,L,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,7,15,0.15,300.0,0.0001,OPTIMAL,True,0.5307891076029712,0.5307891076029712,0.0,33.61703610420227,49746.0,"[0,1,2,3,4,6,21]","[1,7,11,21,23,30,51,61,65,74,76,85,86,89,98]",-0.6091452166100293,"{""0"":1.030991600026223,""1"":1.1594395376826843,""2"":0.9567090958912904,""3"":1.1576065526998687,""4"":1.0215774799355202,""6"":-0.2028239842416958,""21"":-0.3676746272013043}",52.69023099067585,1.3896154828184049,7.703826424879716,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
6,L,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,7,20,0.20,300.0,0.0001,OPTIMAL,True,0.44610278609931925,0.44610278609931925,0.0,121.17972302436829,386106.0,"[0,1,2,3,4,6,21]","[1,7,11,18,21,23,30,31,47,48,51,59,61,65,74,76,85,86,89,98]",-0.6439093452857994,"{""0"":1.058000914022681,""1"":1.0747499809440613,""2"":1.0543169370264254,""3"":1.1266611650948275,""4"":1.0400515733306113,""6"":-0.30539566981784383,""21"":-0.30877804675777}",43.98180296878047,1.3958837313363006,7.727353292356896,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
7,L,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,9,10,0.10,300.0,0.0001,OPTIMAL,True,0.5816423798905953,0.5816423798905953,0.0,17.6978919506073,33987.0,"[0,1,2,3,4,12,14,16,42]","[11,21,23,30,47,51,65,74,76,98]",-0.7358683293743356,"{""0"":0.9234189253407346,""1"":1.1283183575698197,""2"":0.9142747371274996,""3"":1.0510071853562273,""4"":0.7381160263122893,""12"":0.2592733787925606,""14"":-0.2218406738955779,""16"":0.24454259395132183,""42"":-0.22577464980523723}",57.92468781782928,1.2859840527731166,6.741090711170544,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
8,L,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,9,15,0.15,300.0,0.0001,OPTIMAL,True,0.4895210994586548,0.4895210994586548,0.0,145.8065161705017,498703.0,"[0,1,2,3,4,6,11,21,42]","[1,7,11,21,23,30,47,51,61,65,74,76,85,86,98]",-0.7898470614880206,"{""0"":0.9155312669687321,""1"":1.178775634201173,""2"":0.9174666998465677,""3"":1.054329825847547,""4"":0.9456125459837205,""6"":-0.23389780494302656,""11"":-0.14212111048096793,""21"":-0.3063692229020125,""42"":-0.2967844700251484}",48.738174092737566,1.3401034572098147,7.292590554773344,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
9,L,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_1.dat,vertical_outliers,100,49,9,20,0.20,300.0,0.0001,TIME_LIMIT,False,0.41014186142318454,0.3323869864958843,0.18958044091742382,300.0140480995178,668676.0,"[0,1,2,3,4,13,16,42,44]","[1,7,11,14,21,23,30,33,47,51,53,54,61,65,74,76,85,86,87,98]",-0.775656930205696,"{""0"":1.0476266445469076,""1"":1.1123588322695699,""2"":0.96202999837146,""3"":1.0149195991575353,""4"":1.0280887402347885,""13"":0.3113056076838382,""16"":0.1913163048761022,""42"":-0.19725588329005775,""44"":-0.12133825045698218}",40.78735544336707,1.3236275539777242,7.053235459070715,"[0,1,2,3,4]","[11,21,30,65,74,76,98]",
10,L,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_2.dat,vertical_outliers,100,49,5,10,0.10,300.0,0.0001,OPTIMAL,True,0.6165810496087586,0.6165810496087586,0.0,4.577781915664673,5640.0,"[0,1,2,3,4]","[24,25,34,36,42,46,52,60,65,99]",0.5057957839835235,"{""0"":1.0014303087385528,""1"":0.8308431158723262,""2"":0.9666071105127921,""3"":0.822951163293614,""4"":0.8564245099729831}",61.59462393250685,1.390742494582607,8.09041397356184,"[0,1,2,3,4]","[24,25,34,46,60,65,99]",
11,L,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_2.dat,vertical_outliers,100,49,5,15,0.15,300.0,0.0001,OPTIMAL,True,0.5202883995834313,0.5202883995834313,0.0,4.137470006942749,2498.0,"[0,1,2,3,4]","[12,21,24,25,34,36,42,46,52,60,65,78,82,92,99]",0.5015574823680988,"{""0"":0.8671494143766549,""1"":0.7221551455456582,""2"":0.9688672423851259,""3"":0.671065721164663,""4"":1.0588205338563819}",51.52977797472179,1.3993292955695105,8.248274003362233,"[0,1,2,3,4]","[24,25,34,46,60,65,99]",
12,L,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_2.dat,vertical_outliers,100,49,5,20,0.20,300.0,0.0001,OPTIMAL,True,0.4415527706229275,0.4415527706229275,0.0,2.3288772106170654,6338.0,"[0,1,2,3,4]","[12,16,20,21,23,24,25,33,34,36,42,46,52,60,65,78,79,82,92,99]",0.45624532081065516,"{""0"":0.9493060503201396,""1"":0.878712794381961,""2"":0.9721240515594731,""3"":0.7997254622982211,""4"":0.8348284042867172}",44.14266257415898,1.3836014823649265,7.952919730159182,"[0,1,2,3,4]","[24,25,34,46,60,65,99]",
13,L,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_2.dat,vertical_outliers,100,49,7,10,0.10,300.0,0.0001,OPTIMAL,True,0.5726088340377741,0.5726088340377741,0.0,8.539457082748413,5312.0,"[0,1,2,3,4,16,37]","[24,25,34,42,46,52,60,65,82,99]",0.45273423254908574,"{""0"":1.0086693308221049,""1"":0.8776171438806561,""2"":0.9674571801642196,""3"":0.8273480315717643,""4"":0.9647857609239895,""16"":-0.25748419068160144,""37"":0.16239406952962254}",56.643933133432995,1.3603632957538687,8.369783193564746,"[0,1,2,3,4]","[24,25,34,46,60,65,99]",
14,L,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_2.dat,vertical_outliers,100,49,7,15,0.15,300.0,0.0001,OPTIMAL,True,0.471625508395605,0.471625508395605,0.0,14.988538980484009,27211.0,"[0,1,2,3,4,16,37]","[12,23,24,25,34,36,42,46,52,60,65,78,82,92,99]",0.400346468046975,"{""0"":1.007669624477871,""1"":0.8871629218606746,""2"":0.9554217695157997,""3"":0.7786331873672331,""4"":1.0046786618417558,""16"":-0.24326195847433466,""37"":0.21278865139654043}",47.145420763969796,1.3621525124718556,8.411902805299526,"[0,1,2,3,4]","[24,25,34,46,60,65,99]",
15,L,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_2.dat,vertical_outliers,100,49,7,20,0.20,300.0,0.0001,OPTIMAL,True,0.3938267071115986,0.3938267071115986,0.0,50.8032648563385,139698.0,"[0,1,2,3,4,16,37]","[12,14,16,21,23,24,25,33,34,36,42,46,52,60,65,78,79,82,92,99]",0.4629377123472709,"{""0"":0.9979411278768607,""1"":0.8824904965131037,""2"":0.9622356685532106,""3"":0.7988301471661118,""4"":0.9152134524036105,""16"":-0.2493833079313826,""37"":0.18420702995721808}",39.145434258435856,1.3608749624955936,8.379136353732218,"[0,1,2,3,4]","[24,25,34,46,60,65,99]",
16,L,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_2.dat,vertical_outliers,100,49,9,10,0.10,300.0,0.0001,OPTIMAL,True,0.5414155095016325,0.5414155095016325,0.0,10.429355144500732,16024.0,"[0,1,2,3,4,25,34,39,43]","[24,25,34,36,42,46,52,60,65,99]",0.37239567151487823,"{""0"":1.145249793003527,""1"":0.7979568157095965,""2"":0.7958887041855124,""3"":0.8546654793192235,""4"":0.8792875829713118,""25"":-0.2568079541868481,""34"":0.24565469380623972,""39"":0.17793463213174104,""43"":-0.16018010796251725}",54.14155095016327,1.3316398621887842,8.344704635856578,"[0,1,2,3,4]","[24,25,34,46,60,65,99]",
17,L,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_2.dat,vertical_outliers,100,49,9,15,0.15,300.0,0.0001,OPTIMAL,True,0.4436443130411601,0.4436443130411601,0.0,68.7832260131836,170589.0,"[0,1,2,3,4,16,37,46,47]","[12,23,24,25,34,36,42,46,52,60,65,78,79,82,99]",0.5061338996964344,"{""0"":0.8638621397599255,""1"":0.8711275948965738,""2"":0.9864095958730199,""3"":0.7749578835832241,""4"":0.9250648181211358,""16"":-0.21664835954755857,""37"":0.20378766684509692,""46"":-0.20565870792671456,""47"":-0.17489447214868162}",44.36443130411603,1.350989542883629,8.539501912182661,"[0,1,2,3,4]","[24,25,34,46,60,65,99]",
18,L,data/raw/synthetic/vertical_outliers/test150322_100_50_01_2_0_5_-10_2.dat,vertical_outliers,100,49,9,20,0.20,300.0,0.0001,OPTIMAL,True,0.3618973939718298,0.3618973939718298,0.0,234.0888900756836,697700.0,"[0,1,2,3,4,16,37,46,47]","[12,16,20,21,23,24,25,33,34,36,42,46,52,60,65,78,79,82,92,99]",0.5139868642088367,"{""0"":0.8663556068046789,""1"":0.8770080678346505,""2"":0.9787976639141881,""3"":0.7701604218290182,""4"":0.9017281751393557,""16"":-0.23422799517327372,""37"":0.18893955450215127,""46"":-0.2189407650720513,""47"":-0.17951815628263665}",36.13033283236847,1.351533647860181,8.555030897672198,"[0,1,2,3,4]","[24,25,34,46,60,65,99]",
